       Energy  Energy_sqrd   QuantVar  BlockingVar   MCcycles  TimeStep    Eta  AcceptanceRation
0    6.772421    56.021430  10.155739     0.019768    16384.0       0.1  0.001          0.992950
1    2.584526     7.996140   1.316367     0.001430    16384.0       0.1  0.001          0.992859
2    2.508661     7.432486   1.139105     0.001139    16384.0       0.1  0.001          0.992798
3    2.508650     7.427689   1.134365     0.001128    16384.0       0.1  0.001          0.992798
4    2.509186     7.430511   1.134495     0.001128    16384.0       0.1  0.001          0.992798
5    2.509314     7.431221   1.134563     0.001128    16384.0       0.1  0.001          0.992798
6    2.509341     7.431368   1.134578     0.001128    16384.0       0.1  0.001          0.992798
7    2.509346     7.431397   1.134581     0.001128    16384.0       0.1  0.001          0.992798
8    2.509347     7.431403   1.134581     0.001128    16384.0       0.1  0.001          0.992798
9    2.509347     7.431404   1.134582     0.001128    16384.0       0.1  0.001          0.992798
10   2.509347     7.431404   1.134582     0.001128    16384.0       0.1  0.001          0.992798
11   2.509347     7.431404   1.134582     0.001128    16384.0       0.1  0.001          0.992798
12   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
13   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
14   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
15   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
16   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
17   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
18   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
19   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
20   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
21   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
22   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
23   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
24   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
25   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
26   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
27   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
28   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
29   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
30   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
31   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
32   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
33   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
34   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
35   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
36   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
37   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
38   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
39   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
40   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
41   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
42   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
43   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
44   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
45   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
46   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
47   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
48   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
49   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
50   6.772421    56.021430  10.155739     0.019768    16384.0       0.1  0.005          0.992950
51   2.579399     7.958438   1.305139     0.001411    16384.0       0.1  0.005          0.992859
52   2.508473     7.430829   1.138390     0.001138    16384.0       0.1  0.005          0.992798
53   2.508627     7.427411   1.134201     0.001128    16384.0       0.1  0.005          0.992798
54   2.509137     7.430114   1.134343     0.001127    16384.0       0.1  0.005          0.992798
55   2.509255     7.430769   1.134407     0.001127    16384.0       0.1  0.005          0.992798
56   2.509279     7.430901   1.134421     0.001127    16384.0       0.1  0.005          0.992798
57   2.509283     7.430927   1.134424     0.001127    16384.0       0.1  0.005          0.992798
58   2.509284     7.430932   1.134424     0.001127    16384.0       0.1  0.005          0.992798
59   2.509285     7.430933   1.134424     0.001127    16384.0       0.1  0.005          0.992798
60   2.509285     7.430934   1.134424     0.001127    16384.0       0.1  0.005          0.992798
61   2.509285     7.430934   1.134424     0.001127    16384.0       0.1  0.005          0.992798
62   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
63   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
64   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
65   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
66   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
67   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
68   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
69   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
70   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
71   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
72   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
73   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
74   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
75   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
76   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
77   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
78   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
79   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
80   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
81   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
82   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
83   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
84   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
85   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
86   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
87   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
88   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
89   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
90   0.000000     0.000000   0.000000     0.000000        0.0       0.0  0.000          0.000000
